Size,Random_Standard,Random_Intro,Reverse_Standard,Reverse_Intro,Almost_Standard,Almost_Intro
26700,4419,3718,3699,2420,2967,2332
26800,4231,3759,3739,2492,2957,2394
26900,4434,3730,3675,2494,2999,2626
27000,4399,3706,3900,2688,2978,2506
27100,4401,3919,3738,2642,2995,2410
27200,4436,3716,3765,2512,3017,2381
27300,4339,3805,3818,2707,3042,2379
27400,4468,3949,3838,2351,2995,2397
27500,4515,3851,3833,2575,3018,2456
27600,4450,3818,3945,2598,3217,2485
27700,4505,3894,3939,2593,3090,2456
27800,4588,4067,3880,2555,3134,2436
27900,4842,3858,3961,2610,3038,2650
28000,4630,3831,4041,2604,3162,2489
28100,4510,3896,3819,2532,2998,2562
28200,4544,3972,4239,2678,3106,2518
28300,4715,4108,3949,2691,3217,2688
28400,4735,4030,3893,2649,3081,2500
28500,4789,3894,4172,2806,3092,2513
28600,4744,4063,4182,2846,3149,2483
28700,4618,3933,4085,2992,3256,2555
28800,4540,3980,3922,2925,3282,2527
28900,4727,4036,3986,2731,3152,2630
29000,4769,4228,4038,2787,3274,2441
29100,4847,4066,4048,2682,3220,2614
29200,4642,3992,4049,2703,3352,2567
29300,4930,4093,4173,3046,3292,2744
29400,4744,4102,3927,2777,3321,2547
29500,4832,4262,3945,2670,3200,2718
29600,4675,4104,4141,2817,3304,2649
29700,5026,4148,4309,2898,3218,2620
29800,4849,4150,4095,2949,3386,2701
29900,4934,4212,4120,2734,3268,2644
30000,4859,4167,4430,2748,3300,2692
30100,4810,4164,4186,2773,3280,2565
30200,5026,4254,4073,2888,3389,2918
30300,4858,4284,4240,2910,3498,2684
30400,4904,4239,4304,2955,3328,2503
30500,4917,4176,4245,2836,3491,2778
30600,5064,4241,4367,3003,3481,3008
30700,5096,4485,4356,3168,3364,2896
30800,5182,4467,4252,2941,3314,2937
30900,4996,4364,4315,3016,3427,2825
31000,5282,4251,4289,3077,3517,2725
31100,5091,4317,4250,2993,3544,2851
31200,5265,4547,4308,3087,3485,2983
31300,5120,4464,4416,2807,3503,2670
31400,5207,4545,4375,2998,3546,2936
31500,5239,4449,4417,3404,3502,2925
